Time	Step	Training loss	Validation loss
21:36:26	1701	0.0000	5.5206
21:32:29	1601	0.0000	0.0000
21:28:51	1501	0.0000	4.7055
21:25:08	1401	0.0000	0.0000
21:21:20	1301	0.0000	5.4804
21:17:37	1201	0.0000	0.0000
21:13:58	1101	0.0000	5.7172
21:10:08	1001	0.0000	0.0000
21:06:29	901	0.0000	0.0000
21:02:49	801	0.0000	5.9232
20:58:59	701	0.0000	0.0000
20:55:20	601	0.0000	0.0000
20:51:30	501	0.0000	8.1237
20:47:38	401	5.8652	0.0000
20:43:52	301	0.0000	3.8470
20:40:02	201	0.0000	0.0000
20:36:19	101	0.0089	0.0152
20:32:34	1	6.6614	8.8274
