,prompt,set,fold,target,mdl1.reply,mdl1.pred,mdl1.correct,mdl2.reply,mdl2.pred,mdl2.correct,mdl3.reply,mdl3.pred,mdl3.correct
0,"I think people should have the right to euthanasia, or Death With Dignity, if they so choose. The pain of debilitating terminal illness, as well as the physical, mental/emotional, and financial burden placed on those caring for the individual may be more than they can bear, and I believe people should have the right to make this decision without worrying about insurance repercussions.",opinion,test,True,True,True,True,True,True,True,True,True,True
1,"I find that it is a terrible perversion. I would like to see the laws rolled back. It will weaken human beings : physically,morally and socially. Already we have too many people using drugs this will just make it worse. It was a terrible idea to begin with and the longer it lasts the worse it will be.",opinion,test,True,False,False,False,False,False,False,False,False,False
2,"I am pro Cannabis legalization, especially because this is a miracle plant that can help with so many diseases. I myself suffer from chronic pain and have had great benefit by using CBD oil. I can only imagine how much better I would feel if I could use Cannabis. Unfortunately CBD oil does not have enough THC in it, even if it is full spectrum. Also, there are way less side effects when using Cannabis. There is also less risk of overdosing. Cannabis should definitely be legalized.",opinion,test,True,True,True,True,True,True,True,True,True,True
3,God says gay marriage is a sin and it is. Those people should be ashamed of themselves. It's just not right.,opinion,test,False,False,False,True,False,False,True,False,False,True
4,"I believe that we should let migrants in without any sort of screening as to whether or not they would benefit from entering our society. It is racist to say that they are only coming to benefit from the United State's excellent social services. Places like Canada need to allow more migrants, their policies are way to strict and qualifying people based on their potential contributions to society is dehumanizing. Any person should be able to enter the USA at any time with little to no discretion. They should also be granted citizenship on entry.",opinion,test,False,False,False,True,False,False,True,False,False,True
5,Abortion is wrong. Killing unborn babies is not acceptable. There is no excuse for abortion ever.,opinion,test,False,False,False,True,False,False,True,True,True,False
6,"I don't believe migrants should be allowed to come into the United States. There are several options for someone to become a citizen through legal means. I think that if a person really wants to come to America, they need to do the necessary things to make it happen. Furthermore, many migrants cause a drain on society, taxing our resources like welfare, student financial aid, healthcare, etc. I don't think it's right that someone who isn't American to take things that American tax payers fund. I think there is also the possibility that these migrants can cause an increase in crime and there have been instances where I have personally seen stories on the news about migrants harming American citizens. I don't think it's right to let someone come here for nothing. They should have to do what every other legal immigrant has done to get their piece of America! Migrants have no place in the United States of America!!",opinion,test,True,False,False,False,False,False,False,False,False,False
7,"We don't know the full effects of cannabis on the brain. On the growing individual, teenager, young adult, or fetus, it can have side effects in the development that we aren't aware of. We also aren't fully aware of all the chemicals in cannabis nor their effects on the body. We also aren't quite sure how addictive cannabis really is. We cannot easily detect it as we do alcohol, so legalizing it for recreational use everywhere, is a mistake.",opinion,test,False,True,True,False,True,True,False,True,True,False
8,Migrants should be allowed to enter the country and given a test of loyalty by asking them to joint the Armed Forces. I believe that a person will eventually show their true grit by becoming part of the military and having to participate in the cost of freedom. Some migrants might not need to enter the military in order to prove their loyalty but it would certainly help.,opinion,test,True,False,False,False,False,False,False,False,False,False
9,"I believe abortion is the murdering of babies, and there is no argument on this that could change my mind. Abortions of all kinds should be outlawed, regardless of the opinion of the parents. It is God's will that that child was conceived and with God's will that child should be brought into this world. If people do not want to be parents, they should not have gotten pregnant. But if they did get pregnant there are countless families looking to adopt new born babies.",opinion,test,False,False,False,True,False,False,True,False,False,True
